,data,producao_leite,importacoes,exportacoes,oferta_total,populacao_pessoas,oferta_per_capita,taxa_desemprego,massa_salarial,leite_uht_industria,leite_uht_supermercado,preco_leite_produtor,ano,mes,cluster,oferta_sem_importacao,diferenca_percentual,importacao_sobre_oferta_total,importacao%_oferta_total
0,2007-01-01,1629.549,51.4868285,37.23212853333334,1643.8036999666667,188.49692849999994,8.720586128631094,,,,1.422492,0.45087214290861455,2007,1,0,0.7204135954926185,38.286019435887624,3.1321762142915275,3.1321762142915275
1,2007-02-01,1405.073,44.56590975,39.46138208333333,1410.1775276666667,188.6572449166666,7.474812474281432,,,,1.412007,0.4800571926415662,2007,2,0,0.6206462768943076,12.93550148823243,3.160304917334802,3.160304917334802
2,2007-03-01,1444.693,23.32689621666667,40.93882826666667,1427.08106795,188.81756133333326,7.557989086781345,,,,1.427207,0.5008573503573702,2007,3,0,0.6376053290975318,-43.02011756486943,1.6345880231019898,1.6345880231019898
3,2007-04-01,1333.077,19.810017766666665,33.958065266666665,1318.9289525000002,188.97787774999992,6.979276983122966,,,,1.47141,0.5444326922840478,2007,4,0,0.5878452616922779,-41.663290852696974,1.5019776257938096,1.5019776257938096
4,2007-05-01,1359.253,16.03497595,45.07362488333333,1330.2143510666665,189.13819416666658,7.033028717058045,,,,1.61376,0.5862392754472355,2007,5,0,0.5988800085165243,-64.42492479470144,1.205443012785266,1.205443012785266
5,2007-06-01,1324.948,10.397096233333334,28.569803049999997,1306.7752931833334,189.2985105833332,6.903251848926002,,,,1.877278,0.6462858111634133,2007,6,0,0.5832710093338399,-63.608092729455,0.7956299975649049,0.7956299975649049
6,2007-07-01,1434.022,13.467583933333334,26.333476783333328,1421.15610715,189.458827,7.501134307930662,,,,2.119391,0.7342695641298775,2007,7,0,0.6307535796858561,-48.857554799383436,0.9476498651750056,0.9476498651750056
7,2007-08-01,1488.964,11.702935633333334,48.51424435333333,1452.1526912799998,189.61519108333334,7.658419575896733,,,,2.218509,0.7617310732271102,2007,8,1,0.6543797077882947,-75.87732059042315,0.8059025544357725,0.8059025544357725
8,2007-09-01,1519.011,17.9835015,28.34283989333333,1508.6516616066667,189.77155516666667,7.949830311933182,,,,2.00599,0.6953,2007,9,0,0.6670348982956246,-36.550107301597556,1.1920247700418884,1.1920247700418884
13,2008-02-01,1604.373,21.043181533333332,40.1653082,1585.2508733333334,190.5533755833334,8.319195965332382,,,,1.591113,0.67633330338647,2008,2,0,0.701628872176714,-47.6085645140566,1.327435416520887,1.327435416520887
14,2008-03-01,1611.925,20.286418899999997,52.70415152333333,1579.5072673766665,190.70973966666674,8.282258001806403,,,,1.649116,0.6982383622629583,2008,3,1,0.7043535561850055,-61.508878686684234,1.2843510960030473,1.2843510960030473
16,2008-05-01,1588.035,18.375721883333334,44.85866916666666,1561.5520527166668,191.02246783333342,8.174703585544275,,,,1.77044,0.72126055210193,2008,5,0,0.6927784542887543,-59.03640873727064,1.1767601247338941,1.1767601247338941
19,2008-08-01,1573.243,32.32422688333333,56.4345935,1549.1326333833333,191.48843266666665,8.08995411268515,,,,1.835833,0.6202292861273285,2008,8,1,0.6846553679905658,-42.72267260446674,2.0866016367324627,2.0866016367324627
22,2008-11-01,1618.61,22.124153616666668,44.44722171666666,1596.2869319,191.94814266666663,8.316240572705517,,,,1.698257,0.556647324275415,2008,11,0,0.7027114969322931,-50.22376481099463,1.3859759905653757,1.3859759905653757
24,2009-01-01,1757.217,93.12069423333334,50.52028043333333,1799.8174138000002,192.25461599999994,9.361634332878648,,,,1.733666,0.5637442905540229,2009,1,1,0.7616709187362245,84.32339138777269,5.173896725264218,5.173896725264218
25,2009-02-01,1565.15,50.892481833333335,41.52539626666666,1574.5170855666668,192.4078526666666,8.183226743320137,,,,1.788127,0.5738473452186585,2009,2,0,0.6778786045319379,22.557486282643467,3.2322597385481657,3.2322597385481657
26,2009-03-01,1610.304,108.09070396666667,29.285052483333327,1689.1096514833334,192.56108933333326,8.771811882302956,,,,1.838337,0.5900224135204988,2009,3,0,0.6968801457479641,269.0985496037035,6.399270992960353,6.399270992960353
27,2009-04-01,1452.709,62.68536819999999,21.728762833333327,1493.6656053666668,192.71432599999991,7.750672388344744,,,,1.8982,0.6246520857524807,2009,4,0,0.6281789519546844,188.49027752208966,4.196747114934866,4.196747114934866
28,2009-05-01,1434.486,39.23966058333333,19.475550600000002,1454.2501099833335,192.86756266666657,7.540148741842697,,,,2.134079,0.6680459899730661,2009,5,0,0.6198061423454712,101.48164942424441,2.6982745480956534,2.6982745480956534
29,2009-06-01,1407.484,51.69697346666667,16.305525033333332,1442.875448433333,193.02079933333323,7.47523299777445,,,,2.368842,0.7278224721905449,2009,6,0,0.60765644810527,217.05187880171115,3.582913100558956,3.582913100558956
31,2009-08-01,1641.471,70.13620286666668,55.6534729,1655.9537299666667,193.30531041666666,8.566519597404145,,,,2.390305,0.7002166275399654,2009,8,1,0.7076331721314477,26.023048000418108,4.235396291421649,4.235396291421649
34,2009-11-01,1803.057,55.737282416666666,42.15177491666665,1816.6425075,193.69913366666663,9.378681634303163,,,,1.727325,0.5715369361753655,2009,11,0,0.7757120393660134,32.22997733039316,3.068148091138216,3.068148091138216
36,2010-01-01,1880.098,50.95933296666667,21.450299516666664,1909.6070334499998,193.96168249999994,9.845279793600472,,,,1.720001,0.5853804305706762,2010,1,0,0.8077617770372423,137.56933056842303,2.6685769414349494,2.6685769414349494
37,2010-02-01,1634.179,43.246498700000004,16.048695433333332,1661.376803266667,194.0929569166666,8.55969649625141,,,,1.783774,0.6436969733519929,2010,2,0,0.7016307314633917,169.47049297338216,2.6030517950513676,2.6030517950513676
38,2010-03-01,1755.525,29.5952485,15.827241633333333,1769.2930068666667,194.22423133333325,9.109537953738403,,,,1.958926,0.7169959209143562,2010,3,0,0.7532208983179159,86.98930101420979,1.6727160727556238,1.6727160727556238
39,2010-04-01,1655.255,70.34371291666668,14.21934965,1711.3793632666668,194.3555057499999,8.805407166947045,,,,2.166211,0.7556285984703421,2010,4,0,0.7097196250467772,394.70415066885056,4.110351826517014,4.110351826517014
40,2010-05-01,1633.056,53.91808828333334,13.698211650000001,1673.2758766333334,194.48678016666656,8.603545573634413,,,,2.204605,0.7248224964797281,2010,5,0,0.6997287933060469,293.61406920102115,3.2223071542642256,3.2223071542642256
41,2010-06-01,1618.937,61.657076100000005,11.879510833333333,1668.7145652666666,194.61805458333322,8.574305034747647,,,,2.102452,0.6811087051949813,2010,6,0,0.6932112077448557,419.0203280676611,3.6948845167026505,3.6948845167026505
42,2010-07-01,1755.376,61.5843335,15.381987306666664,1801.5783461933333,194.749329,9.250755088318344,,,,1.955011,0.6532102176473711,2010,7,0,0.751126250778165,300.3665603943705,3.4183544462623763,3.4183544462623763
43,2010-08-01,1757.528,32.11763538333333,9.9500692,1779.6955661833335,194.86676908333334,9.1328838393285,,,,1.935615,0.6534011662421076,2010,8,0,0.7515938574628588,222.78806044216583,1.804670191554816,1.804670191554816
44,2010-09-01,1680.98,40.02049675,17.61552925333333,1703.3849674966666,194.9842091666667,8.736014956168393,,,,1.936245,0.6544494752443067,2010,9,0,0.7184256984981232,127.18872748275245,2.349468705762681,2.349468705762681
45,2010-10-01,1768.832,41.85658780000001,16.736218389999998,1793.95236941,195.10164925000004,9.194962606960123,,,,2.011904,0.6689126158366743,2010,10,0,0.7555172764213148,150.0958509540578,2.333205079116226,2.333205079116226
46,2010-11-01,1864.497,86.92638406666667,12.695059313333333,1938.7283247533335,195.2190893333334,9.931038667243175,,,,2.008399,0.6742390456992555,2010,11,0,0.7958993689121261,584.7260963591549,4.483680511436609,4.483680511436609
47,2010-12-01,1971.238,135.35251311666667,13.213242473333333,2093.3772706433338,195.3365294166667,10.716773134522173,,,,2.066693,0.6781655722671079,2010,12,0,0.8409580830779179,924.3701603889587,6.465748673915349,6.465748673915349
48,2011-01-01,1985.68,115.5265418,7.056366926666667,2094.1501748733335,195.45396950000006,10.714288280920961,,,,2.056287,0.6827492151391277,2011,1,0,0.8466102466818065,1537.1957836179756,5.516631194178218,5.516631194178218
49,2011-02-01,1731.011,112.11218563333333,6.677926546666666,1836.4452590866667,195.5714095833334,9.39015198079939,,,,2.035471,0.6998794295748618,2011,2,0,0.7375869355034793,1578.8472417279718,6.104847671260886,6.104847671260886
50,2011-03-01,1771.261,65.62175718333334,10.588745743333334,1826.2940114399998,195.68884966666675,9.332642174303134,,,,2.079595,0.7377958845473712,2011,3,0,0.7542845879300811,519.7311633877766,3.5931649982026594,3.5931649982026594
51,2011-04-01,1656.821,91.10014323333334,11.697502926666665,1736.2236403066665,195.80628975000008,8.867047338077994,,,,2.142254,0.7777851935473203,2011,4,0,0.7051275872851096,678.7999182770315,5.2470281545782,5.2470281545782
52,2011-05-01,1713.253,90.83847666666665,14.625890246666664,1789.46558642,195.92372983333343,9.133480604632455,,,,2.229743,0.8039369828606817,2011,5,0,0.7287074590443154,521.0799830620178,5.0762907851387,5.0762907851387
53,2011-06-01,1687.768,86.0678405,8.381264383333333,1765.4545761166669,196.04116991666677,9.005529689845897,,,,2.251872,0.8011770792985314,2011,6,0,0.7174377371504145,926.9075948868917,4.875109315432898,4.875109315432898
54,2011-07-01,1749.939,77.77097516666667,7.423853916666666,1820.28612125,196.15861,9.279664661418634,,,,2.273626,0.8071319330647464,2011,7,0,0.7434200823507059,947.582240163288,4.272458832640055,4.272458832640055
55,2011-08-01,1798.475,89.80599986666668,11.268109163333333,1877.0128907033334,196.28461083333335,9.562710406762955,,,,2.330055,0.8278653472838777,2011,8,0,0.7635489915912196,696.9926326139731,4.784516947724081,4.784516947724081
56,2011-09-01,1789.899,138.77537698333336,9.349882516666668,1919.3244944666667,196.41061166666668,9.771999986049632,,,,2.380188,0.8241288813512075,2011,9,0,0.7594205258784089,1384.2472804974693,7.230428069011626,7.230428069011626
57,2011-10-01,1874.526,140.77889621666668,10.855534493333334,2004.4493617233334,196.53661250000002,10.198859826808775,,,,2.404957,0.7924810486851334,2011,10,0,0.7948162839124948,1196.8398405727758,7.023320164877174,7.023320164877174
58,2011-11-01,1969.249,101.52658676666668,8.212230343333333,2062.563356423333,196.66261333333338,10.487826442778884,,,,2.336073,0.7825790823385856,2011,11,0,0.8344447404204125,1136.285181029849,4.9223499705106155,4.9223499705106155
59,2011-12-01,2067.118,106.31588789999999,10.359614013333333,2163.0742738866666,196.78861416666672,10.991866999249703,,,,2.27078,0.7681375790058109,2011,12,0,0.875354674673611,926.2533697024446,4.915036399049253,4.915036399049253
60,2012-01-01,2021.291,155.4971877333333,7.131168546666666,2169.6570191866667,196.91461500000005,11.018263013066177,,,,2.203876,0.7768155327006513,2012,1,0,0.8554007871211926,2080.528853241277,7.16690178946459,7.16690178946459
61,2012-02-01,1850.514,101.74929720000002,9.210718673333332,1943.0525785266666,197.0406158333334,9.861177962264367,,,,2.177809,0.7929968688306671,2012,2,0,0.7826279843260231,1004.6835845131424,5.236569423003064,5.236569423003064
62,2012-03-01,1895.099,110.99600503333333,8.719082096666666,1997.3759229366667,197.16661666666676,10.130396091917856,0.08,127957.0,,2.171227,0.8024135537380774,2012,3,0,0.8009718852845014,1173.0239697567188,5.5570913696676625,5.5570913696676625
63,2012-04-01,1720.676,83.39181317,11.493225083333332,1792.5745880866666,197.2926175000001,9.085867534230802,0.078,121994.0,,2.269476,0.808373710711387,2012,4,0,0.7267867824130145,625.5736537425771,4.652069360138013,4.652069360138013
64,2012-05-01,1756.527,85.72950781666668,10.055136593333332,1832.2013712233334,197.41861833333343,9.280793203251655,0.077,122787.0,,2.26705,0.7919625320125451,2012,5,0,0.7414561566470286,752.5941643946071,4.67904397208405,4.67904397208405
65,2012-06-01,1760.751,71.02011875,10.129873253333333,1821.6412454966667,197.54461916666676,9.221416676299155,0.076,123779.0,,2.207719,0.7821384246557934,2012,6,0,0.7427651060250127,601.095827893307,3.89868855492655,3.89868855492655
66,2012-07-01,1869.68,63.25601975,7.292943796666667,1925.6430759533334,197.67062,9.741675702506186,0.075,124987.0,,2.199644,0.7872256508567301,2012,7,0,0.788213578055589,767.3592106785735,3.284929618573456,3.284929618573456
67,2012-08-01,1884.498,88.46862335000002,9.232821163333332,1963.7338021866667,197.8002935,9.927860911827548,0.07400000000000001,126281.0,,2.181061,0.7996255966739193,2012,8,0,0.7939396712775858,858.1970860795936,4.505123008601675,4.505123008601675
68,2012-09-01,1776.984,113.43000126666666,8.822398333333332,1881.5916029333334,197.929967,9.506350308911705,0.071,127095.0,,2.24076,0.8096631885616276,2012,9,0,0.7481535122976098,1185.704827428823,6.028407072492957,6.028407072492957
69,2012-10-01,1863.953,106.61681799999998,12.184396490000001,1958.38542151,198.0596405,9.887857094792617,0.07,128118.0,,2.303337,0.8221433198988966,2012,10,0,0.7842557740412875,775.0274836140036,5.44411824296536,5.44411824296536
70,2012-11-01,1901.445,159.65674539999998,9.185298236666666,2051.916447163333,198.189314,10.353315250706872,0.068,128812.0,,2.319275,0.8226594629323896,2012,11,0,0.7995070309391151,1638.1770442974666,7.780859967310905,7.780859967310905
71,2012-12-01,2036.916,127.64142141666669,11.315364503333335,2153.2420569133333,198.3189875,10.857467981543287,0.069,130712.0,,2.334417,0.8109837733876508,2012,12,0,0.8559089683734897,1028.0363206953296,5.927871462795053,5.927871462795053
72,2013-01-01,2045.576,108.21580990000001,9.355946333333332,2144.4358635666667,198.448661,10.805998149650739,0.073,137640.0,,2.369496,0.8219349344330831,2013,1,0,0.8589862275093237,1056.6527430202236,5.046353296853253,5.046353296853253
73,2013-02-01,1783.366,51.21713693333333,13.649513636666665,1820.9336232966666,198.5783345,9.169850416368893,0.078,138744.0,,2.305382,0.8427492603704608,2013,2,0,0.7483889604952515,275.23049023335767,2.812685551964737,2.812685551964737
74,2013-03-01,1851.768,79.38123593333333,10.60176439,1920.5474715433334,198.708008,9.66517399511817,0.081,138673.0,,2.366954,0.8765681434770932,2013,3,0,0.7765867191421898,648.7549526021238,4.133260807635405,4.133260807635405
75,2013-04-01,1756.483,88.94314108333333,10.12945011,1835.2966909733332,198.8376815,9.23012518114346,0.079,134011.0,,2.501807,0.9094477079407493,2013,4,0,0.7361460978075894,778.064851669755,4.846254097268771,4.846254097268771
76,2013-05-01,1766.974,65.57761948333334,10.01229331,1822.5393261733334,198.967355,9.159991729162472,0.077,135520.0,,2.566468,0.9420373670283417,2013,5,0,0.7400602643249358,554.9710186559979,3.5981456499499727,3.5981456499499727
77,2013-06-01,1814.247,74.85845196666665,8.360285676666667,1880.74516629,199.0970285,9.446374867870015,0.075,137812.0,,2.739215,0.9797909827446157,2013,6,0,0.7593646732904404,795.4054306492731,3.9802549174875246,3.9802549174875246
78,2013-07-01,1978.775,114.14134733333331,7.693298133333331,2085.2230492,199.226702,10.466584189101319,0.07400000000000001,139855.0,,2.94201,1.0143470728041926,2013,7,0,0.8276898378143441,1383.6464849683198,5.473819569428023,5.473819569428023
79,2013-08-01,2003.575,115.39124575,7.536299199999999,2111.42994655,199.35873775,10.591108121871121,0.07200000000000001,141280.0,,3.04895,1.0377858679076237,2013,8,0,0.837508228722387,1431.1393919976001,5.465075738768654,5.465075738768654
80,2013-09-01,2008.586,107.32421073333333,6.5769392,2109.333271533333,199.4907735,10.573588114005348,0.07,141854.0,,3.059864,1.0390363747172544,2013,9,0,0.8390471585728082,1531.8261043576827,5.088063236935355,5.088063236935355
81,2013-10-01,2141.539,102.58233675,7.53752626,2236.5838104900004,199.62280925,11.204049371377137,0.068,143068.0,,3.001547,1.0195643995508692,2013,10,0,0.8939939479051958,1260.954950092605,4.58656350228726,4.58656350228726
82,2013-11-01,2171.098,77.0162065,10.11308975,2238.0011167499997,199.754845,11.203738846734856,0.066,143929.0,,2.837414,0.9601631684976243,2013,11,0,0.9057343932425436,661.5497182747735,3.4412943730717203,3.4412943730717203
83,2013-12-01,2230.842,81.06015733333332,30.367388939999998,2281.5347683933333,199.88688075,11.414129630882908,0.063,145117.0,,2.6138257767999997,0.9180070253033786,2013,12,0,0.9300435291324142,166.93160051887335,3.5528784595474843,3.5528784595474843
84,2014-01-01,2229.486,75.39597166666667,50.48451329999999,2254.397458366667,200.0189165,11.270921259923268,0.065,150728.0,,2.3861615516407197,0.9125452752715857,2014,1,1,0.9288646456596519,49.34475295152877,3.3443957003611864,3.3443957003611864
85,2014-02-01,1921.8,34.448971766666666,28.30309338666667,1927.94587838,200.15095225,9.632459184964983,0.068,152816.0,,2.28713584724763,0.9418876702816611,2014,2,0,0.8001460807439152,21.71451118800768,1.7868225531109405,1.7868225531109405
86,2014-03-01,2037.671,28.298145466666664,27.111759016666667,2038.8573864500001,200.282988,10.179883008585833,0.07200000000000001,154422.0,,2.425278852421387,0.9994664796867707,2014,3,0,0.8478299548170646,4.37591101805928,1.3879413859317833,1.3879413859317833
88,2014-05-01,1947.916,63.653558350000004,33.39509861999999,1978.1744597299999,200.5470595,9.863891620560011,0.071,151762.0,,2.6684426942842077,1.0128097720584732,2014,5,0,0.8094176685414495,90.60748726724384,3.21779295233081,3.21779295233081
89,2014-06-01,1938.758,60.57481786666667,21.013169356666666,1978.3196485100002,200.67909525,9.85812521252136,0.069,152116.0,,2.671644825517349,1.012683343006864,2014,6,0,0.8050821958579997,188.27073554922177,3.061932782818462,3.061932782818462
90,2014-07-01,2017.693,74.44415343333333,38.83225499999999,2053.3048984333336,200.811131,10.225055195935996,0.07,152153.0,,2.7376344527076273,1.0118838901487799,2014,7,0,0.8373095778905469,91.7070060271631,3.6255771605149345,3.6255771605149345
91,2014-08-01,2124.384,57.56541406666666,32.17129966666667,2149.7781144,200.94384025,10.698402656808984,0.07,153529.0,2.14,2.800873808565173,1.0036817848316006,2014,8,0,0.8810023725024335,78.93406440869202,2.6777374688612032,2.6777374688612032
92,2014-09-01,2085.161,59.28908563333334,20.42575165,2124.0243339833332,201.0765495,10.563262296199952,0.069,154774.0,2.0925,2.8524098866427723,0.9824346050710845,2014,9,0,0.8641654986558573,190.26635910034358,2.7913562328235817,2.7913562328235817
93,2014-10-01,2118.9,71.55086598333334,43.907779999999995,2146.5430859833336,201.20925875,10.668212284656278,0.067,156527.0,1.888,2.8136171121844304,0.9403605873592903,2014,10,0,0.8775689602802634,62.95714787523611,3.3333067689417386,3.3333067689417386
94,2014-11-01,2152.048,71.98701125000001,36.013852199999995,2188.0211590499994,201.341968,10.867188697837697,0.066,156521.0,1.7275,2.627918382780258,0.8967975465188489,2014,11,0,0.8907101441132895,99.88700695006467,3.2900509646467726,3.2900509646467726
95,2014-12-01,2262.423,85.61798195,45.34093726,2302.7000446899997,201.47467725,11.429228110055202,0.066,158639.0,1.6433333333333333,2.52779469239633,0.8446,2014,12,0,0.9357764090921256,88.83152207251042,3.7181560901704978,3.7181560901704978
96,2015-01-01,2207.717,76.12459051666669,7.8413124666666665,2276.00027805,201.6073865,11.289270286979292,0.069,165165.0,1.5686266666666666,2.4153078285846936,0.8382,2015,1,0,0.9125479966809981,870.8143992510372,3.344665255572273,3.344665255572273
97,2015-02-01,1899.716,63.763029866666656,18.751395196666667,1944.7276346699998,201.74009575,9.63976758036212,0.075,165635.0,1.6978153571428574,2.3505775787786236,0.8554,2015,2,0,0.7847208859405267,240.04418976781773,3.2787640145550037,3.2787640145550037
98,2015-03-01,2027.962,94.25980341666667,35.319604593333324,2086.9021988233335,201.872805,10.337708433898927,0.08,165516.0,2.0184375,2.3773741631767003,0.8942,2015,3,0,0.8371451188451725,166.87672328715274,4.516733149728509,4.516733149728509
99,2015-04-01,1851.024,93.13812798333335,24.001813506666668,1920.1603144766666,202.00551425,9.50548464781162,0.081,161719.0,1.9767857142857141,2.519065663302032,0.9334,2015,4,0,0.7636029173396685,288.0462114142484,4.850539159732495,4.850539159732495
100,2015-05-01,1886.178,97.94420546666669,17.47148073333333,1966.6507247333336,202.1382235,9.729237205517112,0.083,162437.0,2.0492962454212456,2.602446736757329,0.9537,2015,5,0,0.7775941495795325,460.59475989234153,4.980254207566387,4.980254207566387
101,2015-06-01,1908.257,96.85492995,29.49700975,1975.6149202000001,202.27093275,9.76717165111308,0.084,164686.0,2.191692708333333,2.736069364456134,0.976,2015,6,0,0.7861802707125088,228.35507995857105,4.902520676458293,4.902520676458293
103,2015-08-01,2018.111,77.3016525,54.34964755,2041.06300495,202.52599891666665,10.078029565921737,0.08900000000000001,164946.0,2.039579899267399,2.8189516909575345,0.9844,2015,8,1,0.8303917401531544,42.23027376375323,3.7873231895599253,3.7873231895599253
104,2015-09-01,1987.9,85.63290106666666,55.0937345,2018.439166566667,202.6483558333333,9.96030369092517,0.09,165524.0,1.938173076923077,2.749605479359979,0.9731,2015,9,1,0.817466949840826,55.43128786571305,4.242530688320267,4.242530688320267
105,2015-10-01,2073.924,142.07505611666667,51.2000404,2164.7990157166664,202.77071274999997,10.676093141644621,0.091,166401.0,1.9472153846153843,2.6852647111429557,0.9675,2015,10,1,0.8523272303780963,177.4901250208128,6.562967512696881,6.562967512696881
107,2015-12-01,2150.814,100.51428031666666,25.73016043333333,2225.5981198833333,203.0154265833333,10.962704447338021,0.091,174430.0,1.8572669413919414,2.6481818499456025,0.966,2015,12,0,0.882861480117267,290.64770146730507,4.516281687097024,4.516281687097024
108,2016-01-01,2071.752,64.15043698333334,15.789163199999999,2120.113273783333,203.13778349999993,10.436823899790824,0.096,191694.0,2.015808434065934,2.6174629404862335,0.9981,2016,1,0,0.8498960509727137,306.29409026143543,3.0258023369127423,3.0258023369127423
109,2016-02-01,1891.572,57.30708696666666,28.32967741666667,1920.5494095499998,203.2601404166666,9.448726177267375,0.10300000000000001,192558.0,2.2155782142857143,2.681590782528146,1.0456,2016,2,0,0.7755135841039439,102.2864084324245,2.9838902702375236,2.9838902702375236
110,2016-03-01,1898.053,138.97967043333335,7.769987083333333,2029.26268335,203.38249733333325,9.977567932132061,0.111,188501.0,2.4030088571428574,2.847026162674655,1.1068,2016,3,0,0.7777025329475585,1688.6731205956,6.848776729284714,6.848776729284714
111,2016-04-01,1748.969,170.25093178333333,7.908115783333332,1911.311816,203.5048542499999,9.39197162172853,0.113,172922.0,2.472227619047619,2.996779738831342,1.1571,2016,4,0,0.7161864379294861,2052.8634183903064,8.907543518442484,8.907543518442484
112,2016-05-01,1742.061,201.61024458333338,18.2259405,1925.4453040833332,203.62721116666657,9.455736750759593,0.113,174028.0,2.7533720238095243,3.1322341830265183,1.2165,2016,5,0,0.7129290293190657,1006.1719672756167,10.470837273630895,10.470837273630895
113,2016-06-01,1728.491,191.34336118333334,15.5242848,1904.3100763833334,203.74956808333323,9.34632693603784,0.114,173304.0,3.4725222564102567,3.557591585081519,1.3813,2016,6,0,0.7069507828735823,1132.5421985516095,10.047909925821154,10.047909925821154
114,2016-07-01,1897.102,178.8308873,17.77670571666666,2058.1561815833334,203.871925,10.095338931946285,0.11699999999999999,174161.0,3.6502549159663866,4.131786866913676,1.5768,2016,7,0,0.7754468072704633,905.9844053802161,8.68888808829007,8.68888808829007
115,2016-08-01,1988.565,192.9439085,27.21544818333333,2154.293460316667,203.983561,10.561113110073938,0.11900000000000001,176227.0,2.8282983333333336,4.216488497685406,1.5257,2016,8,0,0.8123877688359405,608.9499581276723,8.956250021370742,8.956250021370742
116,2016-09-01,1962.994,225.54814901666663,32.153895166666665,2156.3882538499997,204.095197,10.565600198078153,0.11900000000000001,175960.0,2.140595382819795,3.7050284429161664,1.3961,2016,9,0,0.8015026112218275,601.4644659614619,10.45953337085632,10.45953337085632
117,2016-10-01,2047.772,150.7790381,21.12512115,2177.42591695,204.206833,10.662845532450916,0.11900000000000001,176222.0,1.957764375,3.1318605427970354,1.2331,2016,10,0,0.8356609039946604,613.7428326653644,6.924646066085302,6.924646066085302
118,2016-11-01,2052.393,164.47135093333333,30.514193633333328,2186.3501573,204.318469,10.700697631499969,0.12,176939.0,1.9481933338720103,2.8869490483503073,1.191,2016,11,0,0.8370890347656238,438.99949941219114,7.522644549144165,7.522644549144165
119,2016-12-01,2139.931,144.27713029999998,13.73569035,2270.47243995,204.430105,11.106350700891143,0.122,184184.0,2.0239852602707753,2.8710708285843807,1.1885,2016,12,0,0.8723156666838934,950.3813541486829,6.354498198761542,6.354498198761542
